"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Link Clicks","Matched Audience Targeting Consumption (Photo Click)","Negative feedback from users: Hide all","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad impressions"
1110535287759307,100064085377601,"Deutsche Investitions- und Förderberatung AG","Noch nie war die Vorsorge für eure Kinder attraktiver! Neue staatliche Regelungen bieten euch verbesserte Möglichkeiten, effektiv für die Zukunft eurer Kinder zu sparen.

Was ist neu in 2025?

✅ Frühstart-Rente:
Die Förderung der Frühstart-Rente wurde deutlich verbessert. Ihr profitiert von höheren staatlichen Zulagen und zusätzlichen Steuervorteilen. Je früher ihr beginnt, desto stärker wirkt der Zinseszins-Effekt, wodurch über Jahre hinweg erhebliches Kapital entsteht.

✅ Neue Sparprogramme:
Neu eingeführte Sparprogramme bieten attraktive Renditen bei hoher Sicherheit. Ihr könnt flexibel monatlich oder jährlich einzahlen und profitiert dabei von Sparzulagen und Steuerbegünstigungen. Diese Sparformen eignen sich besonders gut für langfristige Ziele wie Ausbildung oder Immobilienkauf.

Wie funktioniert es?

💶 Staatlich geförderte Einzahlungen:
Beispiel: Ihr zahlt monatlich 50 € ein und könnt jährlich bis zu 200 € staatliche Zulagen erhalten.

📅 Flexible Sparraten und Laufzeiten:
Beispiel: Eure Sparraten und Laufzeiten (10-25 Jahre) könnt ihr jederzeit an eure finanzielle Situation anpassen.

🔒 Sichere Anlageformen:
Beispiel: Ihr investiert in Mischfonds oder staatlich garantierte Banksparpläne mit stabiler Rendite.

Warum jetzt handeln?
Je früher ihr startet, desto stärker profitiert ihr von staatlichen Förderungen und Zinsen.

📌 Unser Tipp: Lasst euch individuell beraten und sichert euch optimale Konditionen für die Zukunft eurer Kinder.

☎️ 0211-98070110
➡️ www.deutsche-foerderberatung.de

#ZukunftVorsorgen #Kinderförderung #FrühstartRente #FinanzielleAbsicherung #Familienfinanzen #SparenFürKinder #Zukunftsplanung",,0,"05/16/2025 22:00",N/A,https://www.facebook.com/deutschefoerderberatung/posts/pfbid0vSHvUCnvUzZQonLRXgtJn9rerZXvZQ24XqDVtU1L7ETuZ1sfi47Gg1vgcN9wmbYNl,0,0,Photos,,,,,Lifetime,483,538,2,2,0,0,3,2,1,,,,,,
1108511061295063,100064085377601,"Deutsche Investitions- und Förderberatung AG","2025 bringt spannende Neuerungen für alle, die nachhaltig bauen oder sanieren möchten. Die Bundesregierung erweitert und verbessert deutlich die Förderprogramme rund um energieeffizientes Bauen und nachhaltiges Wohnen – und bietet euch attraktive Möglichkeiten, verschiedene Programme clever miteinander zu kombinieren.

🔹 KfW-Förderung: Klimafreundlicher Neubau und Sanierung

Klimafreundlicher Neubau: Bis zu 150.000 € zinsgünstiger Kredit pro Wohneinheit und zusätzlich attraktive Tilgungszuschüsse für besonders energieeffiziente Neubauten.

Effizienzhaus-Sanierung: Für Bestandsgebäude gibt es Zuschüsse und Kredite, je höher die erzielte Energieeinsparung, desto höher fällt die Förderung aus.

🔹 BAFA-Förderung: Einzelmaßnahmen mit attraktiven Zuschüssen

Das Bundesamt für Wirtschaft und Ausfuhrkontrolle (BAFA) unterstützt gezielt Einzelmaßnahmen zur Verbesserung der Energieeffizenz in bestehenden Immobilien:
Austausch alter Heizungen gegen moderne, klimafreundliche Heizsysteme wie Wärmepumpen oder Solarthermie.

Gebäudedämmung (Dach, Fassade, Fenster) mit bis zu 70 % Zuschuss auf die förderfähigen Kosten.

🔹 Kombinationen nutzen – Doppelt profitieren!

Neu und besonders interessant: Ihr könnt KfW- und BAFA-Förderungen jetzt noch besser kombinieren, um eine maximale finanzielle Unterstützung zu erhalten.
 Beispiel: Ihr baut ein neues Haus nach höchsten Energieeffizienz-Standards (gefördert durch die KfW) und installiert zusätzlich eine Wärmepumpe (gefördert durch BAFA). Beide Maßnahmen lassen sich ideal kombinieren, wodurch eure Gesamtkosten deutlich sinken.

🔹 Wichtig zu wissen:
 Um optimal zu profitieren, ist es entscheidend, frühzeitig die richtigen Programme zu wählen und Anträge korrekt einzureichen. Es darf jedoch keine Doppelförderung derselben Maßnahme stattfinden – jede Maßnahme kann nur einmal gefördert werden.

👉 Lasst euch beraten und holt euch die Unterstützung, die ihr verdient.
☎️ 0211-98070110
➡️ www.deutsche-foerderberatung.de
#EnergieeffizientBauen #KfWFörderung #BAFAZuschuss #NachhaltigesWohnen #Klimafreundlich #Förderung2025 #Neubau #Sanierung #Immobilien #DIF #DeutscheFörderberatung #Fördermittel #Energiewende",,0,"05/13/2025 22:00",N/A,https://www.facebook.com/deutschefoerderberatung/posts/pfbid01QAsaRXuFoqBK62C2NiXraz6o8QWyX9RtmZcEfw42Ea78Aj91wxFJRGmjDKaAhL1l,0,0,Photos,,,,,Lifetime,645,522,3,3,0,0,0,,,,,,,,
1105868404892662,100064085377601,"Deutsche Investitions- und Förderberatung AG","🌸 Herzlichen Glückwunsch an alle wunderbaren Mütter! 🌸

Zum Muttertag möchten wir eure unglaubliche Stärke, eure Liebe und euer unermüdliches Engagement feiern. Ihr seid das Herzstück unserer Gesellschaft und verdient mehr Anerkennung – natürlich auch finanziell.

✨ Mehr Anerkennung durch die neue Mütterrente III ✨

Die Bundesregierung plant mit der Mütterrente III eine wichtige Verbesserung der Altersvorsorge speziell für Mütter:

✅ Alle Mütter sollen künftig drei Rentenpunkte pro Kind erhalten – unabhängig vom Geburtsjahr. 
✅ Mütter, deren Kinder vor 1992 geboren wurden, profitieren besonders: Sie erhalten zusätzlich 0,5 Rentenpunkte pro Kind. 
✅ Ein Rentenpunkt entspricht ab 1. Juli 2025 monatlich ca. 40,79 € mehr Rente.

📊 Warum ist diese Verbesserung so wichtig?
Die Zahlen sprechen leider eine klare Sprache:
Frauen ab 65 Jahren beziehen durchschnittlich nur 17.800 € brutto jährlich, Männer dagegen 25.400 € – eine Rentenlücke von fast 30 %.

Jede fünfte Frau über 65 Jahre ist akut armutsgefährdet.
Rund 15 % älterer Frauen geben über 40 % ihres Einkommens allein für Wohnkosten aus.

Die geplante Mütterrente III kann helfen, diese Lücken etwas zu schließen und die großartigen Lebensleistungen von Müttern besser anzuerkennen.

💡 Weitere Chancen zur finanziellen Verbesserung:
 Neben der Mütterrente gibt es weitere Förderungen und finanzielle Hilfen, speziell für Mütter, die ihre Zukunft absichern möchten – von beruflichem Wiedereinstieg über Existenzgründung bis hin zur Vorsorgeplanung.

👉 Lasst euch beraten und holt euch die Unterstützung, die ihr verdient.
☎️ 0211-98070110
➡️ www.deutsche-foerderberatung.de

Nochmal herzliche Glückwünsche und einen wundervollen Muttertag wünscht euch euer Team der Deutschen Förderberatung! 💖

#Mütterrente #Muttertag2025 #Frauenförderung #Altersvorsorge #MütterImFokus #Finanzplanung #DIF #DeutscheFörderberatung #Frauenpower #Gleichstellung #Zukunftgestalten",,0,"05/09/2025 22:00",N/A,https://www.facebook.com/deutschefoerderberatung/posts/pfbid0wAEFU2cNyfxamutJBLMzmKZfN5R9Z3Y64Nz8uyEKarT3QUVb3J3LBNdWwfgsfyAel,0,0,Photos,,,,,Lifetime,952,739,3,3,0,0,3,2,,1,,,,,
1103805881765581,100064085377601,"Deutsche Investitions- und Förderberatung AG","2025 startet die Bundesregierung eine Offensive zur Förderung nachhaltiger Mobilität. Besonders interessant: neue Programme und deutlich attraktivere Konditionen für den Kauf von E-Autos und den Ausbau der Ladeinfrastruktur.
🚗 Welche Förderungen sind geplant?

✅ Erhöhte Kaufprämien für Elektroautos:
💸 Geplant sind gezielte Zuschüsse für Haushalte mit mittlerem und niedrigem Einkommen. Damit soll der Umstieg auf E-Mobilität für alle bezahlbar werden.
💼  Dienstwagen: Die steuerlich begünstigte Preisgrenze steigt auf 100.000 €. Zudem wird eine Sonderabschreibung für E-Fahrzeuge eingeführt.

✅ Steuerliche Vorteile langfristig gesichert:
🛑 E-Fahrzeuge bleiben bis 2035 von der Kfz-Steuer befreit. Dies senkt deutlich und langfristig die laufenden Kosten.

✅ Umfangreicher Ausbau der Ladeinfrastruktur:
🔋Die Bundesregierung plant, den Ausbau von Ladestationen bundesweit deutlich zu beschleunigen. Dabei sollen insbesondere private Haushalte und Unternehmen unterstützt werden, die eigene Ladepunkte installieren.
☀️Gezielte Förderungen gibt es besonders für die Kombination von Ladesäulen mit erneuerbaren Energien, etwa Solaranlagen und Batteriespeichern.

🌱 Neue Programme für klimafreundliche Mobilität:
Im Koalitionsvertrag 2025 ist die Einführung des EU-finanzierten Klimasozialfonds vorgesehen, der Mobilitätsprojekte fördert. Ziel ist es, finanzielle Hürden beim Umstieg auf Elektromobilität besonders für Familien und Selbstständige zu senken.
Geplante Maßnahmen:

🚙 Zuschüsse für Haushalte, die ältere Verbrenner-Fahrzeuge durch E-Autos ersetzen.
👩‍💼Finanzielle Unterstützung für Selbstständige und KMU beim Aufbau eigener Ladeinfrastruktur.
🌍Förderung kommunaler Projekte für klimafreundliche Mobilitätskonzepte (Carsharing, E-Flotten).

📞 Kontaktiert uns für euren persönlichen kostenlosen Förder-Check und startet mit staatlicher Unterstützung in eure nachhaltige Mobilitätszukunft!
☎️ 0211-98070110
➡️ www.deutsche-foerderberatung.de

#EMobilität #Elektroauto #Ladeinfrastruktur #Mobilitätswende #Fördermittel #Finanzplanung #ZukunftGestalten #Klimafreundlich #DIF #DeutscheFörderberatung #Nachhaltigkeit #Energieeffizienz #Koalitionsvertrag2025",,0,"05/06/2025 22:00",N/A,https://www.facebook.com/deutschefoerderberatung/posts/pfbid0Z5CFAja1CmfFmcumhzEGd3gweauWdVxxbHkhKxJAnPubiDYbLLccaYMLVxMd9YGtl,0,0,Photos,,,,,Lifetime,925,757,5,5,0,0,3,1,2,,,,,,
1100822768730559,100064085377601,"Deutsche Investitions- und Förderberatung AG","🚀 Die Bundesregierung plant eine umfassende Wohnbau-Offensive, um den Wohnungsbau zu beschleunigen und den Erwerb von Wohneigentum zu erleichtern. 

Für Kauf- und Bauwillige ergeben sich daraus neue Chancen:

🔹 Wohnungsbau-Turbo:
 📑 Ein Gesetzentwurf zur Beschleunigung von Planungs- und Genehmigungsverfahren soll innerhalb der ersten 100 Tage vorgelegt werden. Ziel ist es, bürokratische Hürden abzubauen und den Wohnungsbau zu fördern.

🔹 Reform des Baugesetzbuches:
 🏗️ Geplant ist eine umfassende Reform des Baugesetzbuches in zwei Schritten, um Bauprozesse zu beschleunigen und technische Vorgaben zu modernisieren.

🔹 Neue Förderprogramme:
 🌿🏘️ Die bestehenden Förderstrukturen sollen neu organisiert werden. Künftig sollen zwei zentral gebündelte KfW-Programme für Neubau und Modernisierung zur Verfügung stehen, die administrativ vereinfacht und strategisch auf kostensparendes, klimagerechtes Bauen ausgerichtet sind.

🔹 Investitionsfonds für Wohnungsbau:
 💶 Ein geplanter Investitionsfonds soll über öffentliche Garantien private Mittel mobilisieren und so den Wohnungsbau zusätzlich fördern.

🔹 Stärkung des sozialen Wohnungsbaus:
 🏢✨ Die Investitionen in den sozialen Wohnungsbau sollen schrittweise deutlich erhöht werden, um mehr preisgünstigen Wohnraum zu schaffen.

💡 Unser Service für euch:
Die neuen Regelungen in ihrer Vielzahl sind durchaus komplex. Unser Expertenteam steht euch zur Seite, um:

✅ Individuelle Fördermöglichkeiten zu identifizieren 
✅ Anträge effizient und korrekt zu stellen
✅ Eure Finanzplanung an die neuen Rahmenbedingungen anzupassen

📞 Kontaktiert uns für euren persönlichen Förder-Check!
☎️ 0211-98070110
➡️ www.deutsche-foerderberatung.de
#WohnbauOffensive #Koalitionsvertrag2025 #Fördermittel #Eigenheim #Finanzplanung #DIF #DeutscheFörderberatung #NeuesZuhause #Bauen2025 #Wohneigentum #Förderung",,0,"05/02/2025 22:00",N/A,https://www.facebook.com/deutschefoerderberatung/posts/pfbid0e8RZS8fyiFe8WvB81yD4vKRMneyTioTLkW4mLTphCbUU2jtycrdZ79EoaSvhT2ssl,0,0,Photos,,,,,Lifetime,1339,1058,4,4,0,0,1,,,1,,,,,
1098519862294183,100064085377601,"Deutsche Investitions- und Förderberatung AG","💡 Förderung klingt gut – aber der Antrag schreckt ab?

Viele Menschen verpassen Chancen, weil sie schon vor Formularen kapitulieren. Unser Team übernimmt die Bürokratie – ihr entscheidet, wir setzen um. Förderung kann einfach sein – mit dem richtigen Partner.

🎯 Ein Beispiel aus der Praxis:
Anna und Jonas, ein junges Paar aus Hessen, träumten vom eigenen Zuhause. Doch die Grunderwerbsteuer stellte eine finanzielle Hürde dar. Durch das Hessengeld-Programm erhielten sie 10.000 € Zuschuss – und weitere 5.000 € für ihr Kind. Dank unserer Unterstützung von der Antragstellung bis zur Bewilligung konnten sie sich voll und ganz auf ihren Umzug konzentrieren.​

💼 Unser Versprechen: Ihr entscheidet, wir setzen um.

Unser Team übernimmt für euch sämtliche bürokratischen Hürden, von der Suche nach dem passenden Förderprogramm bis hin zur vollständigen Abwicklung aller Formulare und Unterlagen.

✅ Fördermittel gezielt auswählen
✅ Bürokratische Prozesse auslagern
✅ Chancen maximieren, Stress minimieren

👉 Förderung kann einfach sein – wenn man den richtigen Partner an der Seite hat.
Kontaktiert uns und macht Schluss mit dem Förder-Frust. Wir kümmern uns darum, dass ihr entspannt die finanziellen Vorteile erhaltet, die euch zustehen.
Gemeinsam gestalten wir eure finanzielle Zukunft – unkompliziert, schnell und effizient!

👉 Lasst euch beraten und holt euch die Unterstützung, die ihr verdient.
☎️ 0211-98070110
➡️ www.deutsche-foerderberatung.de

#ZukunftPlanen #Fördermittel #BürokratieAde #FörderungEinfachMachen #Finanzplanung #Finanzen #MehrVomLeben #DIF #DeutscheFörderberatung #EinfachGefördert",,0,"04/29/2025 22:00",N/A,https://www.facebook.com/deutschefoerderberatung/posts/pfbid0Cu1SR9asioVdKeqAJr98jyFmb5tteys23RYkQBDxAoNQPFcVPEnA5rjawpzLzYk2l,0,0,Photos,,,,,Lifetime,1388,1044,4,4,0,0,6,1,2,3,,,,,
1097012382444931,100064085377601,"Deutsche Investitions- und Förderberatung AG","Unsere Berater:innen geben euch exklusive Einblicke und wertvolle Ratschläge rund um die Themen Fördermittel, Finanzplanung und Altersvorsorge.

#Finanzwissen #BeraterInsights #Förderung #Finanztipps #DIF #DeutscheFörderberatung #PersönlicheTipps","Unsere Berater:innen geben euch exklusive Einblicke und wertvolle Ratschläge rund um die Themen Fördermittel, Finanzplanung und Altersvorsorge.

#Finanzwissen #BeraterInsights #Förderung #Finanztipps #DIF #DeutscheFörderberatung #PersönlicheTipps",30,"04/27/2025 22:00",N/A,https://www.facebook.com/reel/579691585162050/,1,0,Reels,,,,,Lifetime,1492,1404,8,6,2,0,0,,,,,8442.926,6.494,0,0
1095498479262988,100064085377601,"Deutsche Investitions- und Förderberatung AG","💼 Altersvorsorge, Investitionen & Förderungen: Das bringt der Koalitionsvertrag 2025!

Der neue Koalitionsvertrag setzt entscheidende Impulse für eure langfristige finanzielle Planung. Ob Altersvorsorge, Immobilien oder nachhaltige Mobilität – zahlreiche Förderungen bieten euch attraktive Vorteile:

🔹 Altersvorsorge-Depot – Staat fördert ETFs & Aktien
 Ab 2025 könnt ihr jährlich bis zu 3.000 € steuerbegünstigt in ein Altersvorsorge-Depot investieren – ideal für ETFs und Aktien. Jeder eingezahlte Euro wird mit 20 Cent staatlich bezuschusst, was bis zu 600 € Förderung im Jahr bedeutet. Langfristig investieren und staatlich profitieren wird damit einfacher als je zuvor!

🔹 Frühstart-Rente – Vorsorge schon für junge Menschen
 Kinder und Jugendliche zwischen 6 und 18 Jahren profitieren von der neuen Frühstart-Rente: Monatlich zahlt der Staat 10 € in ein kapitalgedecktes Vorsorgedepot ein. Eltern können zusätzlich sparen und frühzeitig die finanzielle Zukunft ihrer Kinder sichern.

🔹 Förderungen rund ums Eigenheim und energetische Sanierung
 Ihr plant ein Eigenheim oder wollt nachhaltig sanieren? Zahlreiche Programme fördern energieeffiziente Neubauten, Modernisierungen und barrierefreie Umbauten – eine attraktive Kombination aus Wohnqualität, Altersvorsorge und nachhaltiger Investition.

🔹 Neue Förderungen für Elektroautos
 Auch nachhaltige Mobilität steht im Fokus: Der Koalitionsvertrag sieht attraktive Zuschüsse für den Kauf von Elektroautos vor – besonders für Haushalte mit niedrigem und mittlerem Einkommen. Aus Mitteln des EU-Klimasozialfonds wird der Umstieg auf klimafreundliche Fahrzeuge zusätzlich unterstützt.
 
Zudem sind geplant:
- Steuerliche Sonderabschreibungen auf Elektroautos
- Steuerbefreiung der Kfz-Steuer bis 2035
- Höhere steuerliche Vorteile für elektrische Dienstwagen (bis 100.000 €)

Nutzt diese Chancen, um optimal gefördert in die Zukunft zu gehen. 

👉 Kontaktiert uns für euren kostenlosen Förder-Check!
☎️ 0211-98070110
➡️ www.deutsche-foerderberatung.de

#Koalitionsvertrag2025 #Altersvorsorge #ETF #Altersvorsorgedepot #FrühstartRente  #Elektroauto #Autoförderung #Fördermittel #Investitionen #Finanzplanung #DeutscheFörderberatung #DIF",,0,"04/25/2025 22:00",N/A,https://www.facebook.com/deutschefoerderberatung/posts/pfbid02NWR3M7DJr9PWjKtPT9hRQjFM8SB9RGpPg2ZeAGt461gSEA8BX3sAUQnae3VbobLFl,0,0,Photos,,,,,Lifetime,1535,1115,4,4,0,0,13,3,5,5,,,,,
1094737586005744,100064085377601,"Deutsche Investitions- und Förderberatung AG","Unsere Berater:innen erklären euch in ihren persönlichen Reels, wie Fördermittel und Finanzplanung leichter und effektiver funktionieren. 

#Fördermittel #Finanztipps #KlareWorte #DIF #DeutscheFörderberatung #FinanzenLeichtGemacht","Unsere Berater:innen erklären euch in ihren persönlichen Reels, wie Fördermittel und Finanzplanung leichter und effektiver funktionieren. 

#Fördermittel #Finanztipps #KlareWorte #DIF #DeutscheFörderberatung #FinanzenLeichtGemacht",15,"04/24/2025 22:01",N/A,https://www.facebook.com/reel/1189427656119185/,1,0,Reels,,,,,Lifetime,1280,1207,5,4,0,1,0,,,,,5157.535,4.731,0,0
1093191002827069,100064085377601,"Deutsche Investitions- und Förderberatung AG","Zukunft planen? Klingt kompliziert – muss es aber nicht sein!

Viele denken bei Finanzplanung sofort an trockene Zahlen, Formulare und endlose Excel-Tabellen. Aber echte Planung bedeutet: 

👉 Sicherheit, Komfort und jede Menge Sparpotenzial!

Was gehört alles dazu? Hier sind die häufigsten Themen, die oft im Alltag untergehen, aber extrem wichtig sind:

🔸 Altersvorsorge:
 Je früher ihr startet, desto entspannter ist es später. Egal ob über klassische Rentenversicherung, Rürup- oder Riester-Rente – clever kombiniert mit staatlichen Förderungen 💡💰

🔸 Rücklagen:
 Ein solides finanzielles Polster schützt euch vor unerwarteten Ausgaben (Auto, Waschmaschine, Reparaturen). Schon 50 € im Monat können Wunder bewirken. 🚗💦

🔸 Kindervorsorge:
 Mit staatlicher Unterstützung könnt ihr clever für eure Kinder sparen. Kinderzulagen, vermögenswirksame Leistungen oder Ausbildungsförderungen – viele Eltern kennen die Möglichkeiten nicht! 👶🎓

🔸 Förderprogramme nutzen:
Wohnungsbauprämie, Arbeitnehmersparzulage, VL, regionale Zuschüsse – oft verschenkt ihr jedes Jahr bares Geld, weil euch niemand darauf hinweist.

Unser Ansatz:
Wir bringen Struktur und Übersicht in eure Zukunftsplanung und holen gezielt Fördermittel ins Boot. 🚀

Was wir für euch tun:
 ✔️ Analyse eurer persönlichen Situation
 ✔️ Aufzeigen aller passenden Fördermöglichkeiten
 ✔️ Schritt-für-Schritt-Plan für Altersvorsorge, Vermögensaufbau & Rücklagen
 ✔️ Wir übernehmen die Bürokratie – ihr spart Zeit und Nerven

👉 Vereinbart eine kostenlose Beratung, um eure persönlichen Optionen zu erfahren!
☎️ 0211-98070110
➡️ www.deutsche-foerderberatung.de
#Finanzplanung #ZukunftPlanen #Fördermittel #Vorsorge #Altersvorsorge #Kindervorsorge #Rücklagen #Vermögensaufbau #Förderungnutzen #DeutscheFörderberatung #Finanztipps",,0,"04/22/2025 22:00",N/A,https://www.facebook.com/deutschefoerderberatung/posts/pfbid02yBC6ys2qq71ZkSpNw9WAYJ7UhoQ7Y39oEc2M7nDNe8CkJFS1ZmXW41gD1ruLHpuol,0,0,Photos,,,,,Lifetime,3106,2477,8,8,0,0,11,7,2,2,3,,,,
